"","nname","image_score","prcse_score"
"374","B4_P-Violet",6,5.2
"375","C5_P-Lemon",6,5.6
"376","D6_P-Tquise",5,5.6
"377","A3_unipink",6,4.8
"378","B4_P-Violet",3,4.4
"379","C5_P-Lemon",6,4.8
"380","D6_P-Tquise",5,5
"381","A3_unipink",6,4.6
"382","B4_P-Violet",6,5.8
"383","C5_P-Lemon",6,5.2
"384","D6_P-Tquise",4,4
"385","A3_unipink",4,3.4
"386","B4_P-Violet",4,4.2
"387","C5_P-Lemon",5,4.6
"388","D6_P-Tquise",2,3.6
"389","A3_unipink",7,6
"390","B4_P-Violet",7,5.4
"391","C5_P-Lemon",7,6
"392","D6_P-Tquise",7,6
"393","A3_unipink",7,5
"394","B4_P-Violet",5,2.6
"395","C5_P-Lemon",7,5
"396","D6_P-Tquise",3,2
"397","A3_unipink",6,6
"398","B4_P-Violet",5,5.6
"399","C5_P-Lemon",4,4.8
"400","D6_P-Tquise",3,5
"401","A3_unipink",7,5.2
"402","B4_P-Violet",6,5.8
"403","C5_P-Lemon",7,6.4
"404","D6_P-Tquise",3,4.6
"405","A3_unipink",2,4.6
"406","B4_P-Violet",5,5.2
"407","C5_P-Lemon",6,6.4
"408","D6_P-Tquise",7,6.4
"409","A3_unipink",3,4.4
"410","B4_P-Violet",5,5
"411","C5_P-Lemon",6,4.6
"412","D6_P-Tquise",2,2.4
"413","A3_unipink",6,4.8
"414","B4_P-Violet",5,5.8
"415","C5_P-Lemon",4,4.8
"416","D6_P-Tquise",4,5.4
"417","A3_unipink",5,4.4
"418","B4_P-Violet",3,2.8
"419","C5_P-Lemon",5,5
"420","D6_P-Tquise",2,1.8
"421","A3_unipink",3,5.2
"422","B4_P-Violet",7,5.6
"423","C5_P-Lemon",7,7
"424","D6_P-Tquise",7,6.2
"425","A3_unipink",6,5
"426","B4_P-Violet",3,4.2
"427","C5_P-Lemon",5,6
"428","D6_P-Tquise",3,3.4
